Date;BA;CAT;KO;DIS;JPM;MMM;MSFT;PFE;WMT;XOM;Y05;Y10;Y15;Y20;Y30
1996-01-12;23.880094528198242;7.515185356140137;9.671156883239746;15.032938957214355;8.997880935668945;16.280799865722656;3.3896799087524414;4.436570167541504;7.321427822113037;9.170007705688477;0.05424448657916;0.058679651229499995;0.06167673655655;0.06352749067187999;0.06495561155063
1996-01-19;24.07205581665039;7.628633499145508;9.75424575805664;15.032938957214355;9.6246976852417;15.685932159423828;3.6318001747131348;4.463620662689209;6.539931297302246;9.34274959564209;0.05257494027394;0.056656311959730005;0.05956501104793;0.06149745386631;0.06332398442276
1996-01-26;23.57294464111328;8.048859596252441;9.903804779052734;15.22085189819336;10.190858840942383;16.343416213989258;3.5774450302124023;4.75217866897583;6.581061363220215;9.18440055847168;0.053543065415979994;0.057673503927359995;0.0604439376872;0.062219012835139996;0.06378716186167001
1996-02-02;23.956880569458008;8.194317817687988;9.986888885498047;15.534029960632324;10.554815292358398;16.437353134155273;3.67626953125;4.896457672119141;7.074639797210693;9.299567222595215;0.05254323989695;0.057911817230009995;0.06140198131825;0.06348166501808;0.06493036239797
1996-02-09;25.45684051513672;8.355940818786621;10.585103988647461;15.72195053100586;10.817680358886719;17.126155853271484;3.9579215049743652;4.990695476531982;7.36256217956543;9.6038818359375;0.052428452569849994;0.058076812718980006;0.06164189753037999;0.06364997324268;0.06476157285968
1996-02-16;25.14872169494629;8.6630277633667;10.701419830322266;16.066452026367188;10.959217071533203;16.656509399414062;3.8689773082733154;4.927293300628662;6.992375373840332;9.473114967346191;0.05283214765876;0.05904031161833;0.06287259094561;0.06494139279934;0.06585870152118
1996-02-23;25.76493263244629;9.050921440124512;11.05037784576416;16.285686492919922;11.727569580078125;16.585878372192383;4.091332912445068;4.927293300628662;7.321427822113037;9.56028938293457;0.055227432419589995;0.06135808515600999;0.06514151415391001;0.06702662817039;0.06735190541319
1996-03-01;24.802127838134766;8.727672576904297;10.91744613647461;16.536239624023438;11.768013000488281;16.39668846130371;3.775094747543335;4.818602085113525;7.115769386291504;9.269705772399902;0.056011375996730006;0.061251061779530006;0.06485391234842;0.06665983092210999;0.06625617757292
1996-03-08;24.224435806274414;8.695347785949707;10.668188095092773;16.44227409362793;10.736796379089355;15.892171859741211;3.7602713108062744;4.764257431030273;7.403694152832031;9.211589813232422;0.0605014839161;0.06515228894239;0.06834043742529;0.06967955116509;0.06830450467044
1996-03-15;24.917652130126953;9.309521675109863;10.78445816040039;17.35051155090332;10.979435920715332;16.018299102783203;4.046861171722412;4.555933475494385;7.832246780395508;9.182530403137207;0.061777431020669994;0.065705432164;0.06882242217024;0.07020809362285;0.06878494243351001
1996-03-22;27.382469177246094;8.953951835632324;11.18449592590332;16.254364013671875;11.505154609680176;16.27055549621582;3.997450828552246;4.909177303314209;7.832246780395508;9.458586692810059;0.060438679154139995;0.06466142293512;0.06783884899787;0.06934066692887;0.06846425877298999
1996-03-29;26.689239501953125;8.792323112487793;11.034480094909668;16.003808975219727;11.404048919677734;16.302095413208008;4.076510906219482;4.87294864654541;7.584918975830078;9.473114967346191;0.06078458669457001;0.06488407607476;0.06819079523958;0.06978264764417;0.06877942059589
1996-04-04;26.304100036621094;8.873141288757324;11.167829513549805;16.285686492919922;11.899592399597168;16.45974349975586;4.125923156738281;5.162790775299072;7.420027732849121;9.923523902893066;0.06103229835269;0.06486337568139999;0.06801679089848;0.06952523056873999;0.06846257831878999
1996-04-12;25.110212326049805;9.083250045776367;10.76778793334961;15.404073715209961;11.108994483947754;16.17596435546875;3.997450828552246;4.999753952026367;7.4612531661987305;9.516706466674805;0.0626938827429;0.06706822345650001;0.0696252722791;0.07077935801186;0.07067683788076001
1996-04-19;24.99467658996582;8.44806957244873;10.501093864440918;15.843291282653809;10.987360000610352;16.239025115966797;4.3383941650390625;5.072215557098389;7.420027732849121;9.531231880187988;0.06277031079258;0.06698048989442;0.06980931256433999;0.07086218743097;0.06940970810806
1996-04-26;24.879146575927734;8.431824684143066;10.834461212158203;15.52956485748291;11.210350036621094;16.428224563598633;4.486631393432617;4.8548359870910645;7.832246780395508;9.807291984558105;0.06258184741047;0.06633848486492;0.06936360410298001;0.07080583224542;0.06942224119228
1996-05-03;24.031871795654297;8.285606384277344;10.634442329406738;14.807992935180664;10.703553199768066;16.239025115966797;4.382866382598877;4.800487518310547;7.739497184753418;9.574820518493652;0.06574938557365;0.07001704297408001;0.07282656230226;0.07386855933521;0.0724281176837
1996-05-10;24.455507278442383;8.269365310668945;11.18449592590332;14.870738983154297;11.16981029510498;16.45974349975586;4.540985584259033;4.84107780456543;7.832246780395508;9.798147201538086;0.06442854703365;0.06843557464802;0.07100912675703;0.07200280086566;0.07087002027736
1996-05-17;25.660253524780273;8.951706886291504;12.301281929016113;15.372701644897461;11.514426231384277;17.31111717224121;4.624985694885254;4.868374347686768;8.120809555053711;9.944823265075684;0.06371529431382;0.06733435303962;0.07007520028851;0.07114318478204;0.06939367074295
1996-05-24;25.930768966674805;8.886722564697266;12.667985916137695;15.686430931091309;11.615787506103516;17.872573852539062;4.684279918670654;5.104968070983887;8.244475364685059;10.208847045898438;0.06364715843478;0.06715214662883001;0.06981876421751;0.07094363129312001;0.069392699529
1996-05-31;26.355859756469727;8.529304504394531;12.267942428588867;15.247212409973145;11.352253913879395;17.332901000976562;4.6941609382629395;5.1504693031311035;8.533036231994629;9.944823265075684;0.06581218025101;0.06894199838748;0.07135665886634;0.07232692734879001;0.07074139352438999
