,Scenario,Period,BA,CAT,KO,DIS,JPM,MMM,MSFT,PFE,WMT,XOM,5Y,10Y,15Y,20Y,30Y,b1,b2,b3
0,1,0,320.7921658185808,143.3437812456843,53.78011865035224,141.81689811320757,134.51184488229651,169.60120902709286,155.0017278549236,37.37419177364423,117.68030577672373,65.50229480989739,100.0,100.0,100.0,100.0,100.0,0.02,0.0,0.0
1,1,1,322.0991128109504,143.92778155409545,53.99922551083307,142.39467771073382,135.0598627887139,170.29218534652566,155.63322408088393,37.52645885724387,118.15974990935568,65.76915926706594,100.24662697723036,100.24662697723036,100.24662697723036,100.24662697723036,100.24662697723036,0.02,0.0,0.0
2,1,2,323.41138446714547,144.5141611520527,54.21922503978534,142.97481125386005,135.61011338791766,170.98597678901535,156.2672931006377,37.67934629579026,118.64114735673132,66.03711096306644,100.49386220311969,100.49386220311969,100.49386220311969,100.49386220311969,100.49386220311969,0.02,0.0,0.0
3,1,3,324.7290024805057,145.10292973307628,54.44012087405092,143.55730833285205,136.16260577617464,171.68259482372184,156.90394539606538,37.832856616686264,119.12450607689672,66.3061543274445,100.74170717777329,100.74170717777329,100.74170717777329,100.74170717777329,100.74170717777329,0.02,0.0,0.0
4,1,4,326.05198863275194,145.69409703017885,54.66191666528858,144.14217857704745,136.71734908681088,172.38205096653164,157.54319149175174,37.986992357631664,119.60983406031995,66.5762938077922,100.9901634049961,100.9901634049961,100.9901634049961,100.9901634049961,100.9901634049961,0.02,0.0,0.0
5,1,5,327.3803647943464,146.28767281602666,54.88461608003443,144.72943165501505,137.2743524903628,173.08435678024844,158.18504195516013,38.14175606666515,120.09713933002332,66.84753386982167,101.23923239230183,101.23923239230183,101.23923239230183,101.23923239230183,101.23923239230183,0.02,0.0,0.0
6,1,6,328.71415292485455,146.88366690310102,55.10822279976251,145.3190772747147,137.8336251947287,173.78952387478432,158.82950739680706,38.29715030220647,120.5864299417159,67.11987899743896,101.4889156509222,101.4889156509222,101.4889156509222,101.4889156509222,101.4889156509222,0.02,0.0,0.0
7,1,7,330.0533750733075,147.4820891438604,55.332740520945606,145.91112518365742,138.39517644532103,174.4975639073515,159.47659847043752,38.45317763309864,121.07771398392669,67.39333369281802,101.73921469581593,101.73921469581593,101.73921469581593,101.73921469581593,101.73921469581593,0.02,0.0,0.0
8,1,8,331.39805337856706,148.08294943090354,55.55817295511643,146.50558516906705,138.9590155252191,175.20848858265512,160.12632587320127,38.609840638650496,121.57099957813837,67.66790247647528,101.99013104567814,101.99013104567814,101.99013104567814,101.99013104567814,101.99013104567814,0.02,0.0,0.0
9,1,9,332.7482100696914,148.68625769713276,55.78452382892891,147.10246705804164,139.52515175532272,175.92230965308678,160.7787003458295,38.76714190867929,122.06629487892155,67.94358988734427,102.24166622294936,102.24166622294936,102.24166622294936,102.24166622294936,102.24166622294936,0.02,0.0,0.0
10,1,10,334.1038674663028,149.29202391591832,56.011796884219855,147.70178071771616,140.09359449450625,176.6390389189188,161.4337326728125,38.92508404355352,122.5636080740696,68.22040048285075,102.49382175382497,102.49382175382497,102.49382175382497,102.49382175382497,102.49382175382497,0.02,0.0,0.0
11,1,11,335.46504797895614,149.90025810126318,56.23999587807073,148.3035360554254,140.6643531397731,177.35868822849915,162.09143368257796,39.08366965423587,123.06294738473393,68.49833883898795,102.74659916826432,102.74659916826432,102.74659916826432,102.74659916826432,102.74659916826432,0.02,0.0,0.0
12,1,12,336.83177410950987,150.51097030796853,56.46912458286986,148.90774301886796,141.23743712641135,178.08126947844752,162.75181424766978,39.24290136232644,123.56432106555992,68.77740955039226,103.0,103.0,103.0,103.0,103.0,0.02,0.0,0.0
13,1,13,338.2040684514979,151.1241706318002,56.69918678637473,149.51441159627052,141.8128559281496,178.80679461385196,163.41488528492812,39.40278180010606,124.06773740482348,69.05761723041924,103.25402578654727,103.25402578654727,103.25402578654727,103.25402578654727,103.25402578654727,0.02,0.0,0.0
14,1,14,339.58195369050276,151.73986920965535,56.93018629177461,150.12355181655306,142.39061905731356,179.53527562846614,164.0806577556696,39.563313610579776,124.57320472456789,69.33896651121977,103.50867806921329,103.50867806921329,103.50867806921329,103.50867806921329,103.50867806921329,0.02,0.0,0.0
15,1,15,340.965452604531,152.3580762197301,57.16212691775346,150.73517374949463,142.97073606498336,180.26672456490795,164.74914266586865,39.72449944752058,125.08073138074155,69.62146204381672,103.7639583931065,103.7639583931065,103.7639583931065,103.7639583931065,103.7639583931065,0.02,0.0,0.0
16,1,16,342.35458806438953,152.9788018816878,57.395012498553,151.3492875058998,143.55321654115141,181.0011535148582,165.42035106633932,39.88634197551324,125.59032576333595,69.9051084981818,104.01986830714598,104.01986830714598,104.01986830714598,104.01986830714598,104.01986830714598,0.02,0.0,0.0
17,1,17,343.7493830340637,153.602056456828,57.62884688403615,151.96590323776581,144.13807011488092,181.73857461926087,166.09429405291814,40.04884386999841,126.10199629652449,70.18991056331276,104.2764093640709,104.2764093640709,104.2764093640709,104.2764093640709,104.2764093640709,0.02,0.0,0.0
18,1,18,345.14986057109724,154.22785024825606,57.86363393975063,152.5850311384504,144.72530645446514,182.47900006852353,166.7709827666474,40.21200781731679,126.6157514388017,70.4758729473109,104.53358312044986,104.53358312044986,104.53358312044986,104.53358312044986,104.53358312044986,0.02,0.0,0.0
19,1,19,346.5560438269729,154.85619360105343,58.09937754699289,153.2066814428403,145.31493526758706,183.2224421027191,167.4504283939594,40.37583651475357,127.13159968312303,70.76300037745892,104.79139113669041,104.79139113669041,104.79139113669041,104.79139113669041,104.79139113669041,0.02,0.0,0.0
20,1,20,347.9679560474954,155.48709690244874,58.336081602872255,153.8308644275204,145.90696630148005,183.9689130117879,168.13264216686136,40.54033267058303,127.64954955704529,71.05129760029904,105.04983497704848,105.04983497704848,105.04983497704848,105.04983497704848,105.04983497704848,0.02,0.0,0.0
21,1,21,349.38562057317597,156.1205705819894,58.57375002037536,154.4575904109437,146.50140934308888,184.71842513574111,168.81763536312096,40.70549900411326,128.16960962286763,71.34076938171148,105.30891620963784,105.30891620963784,105.30891620963784,105.30891620963784,105.30891620963784,0.02,0.0,0.0
22,1,22,350.8090608396179,156.75662511171424,58.812386728430845,155.08686975360197,147.09827421923157,185.47099086486475,169.50541930645315,40.871338245731195,128.6917884777731,71.6314205069933,105.56863640643974,105.56863640643974,105.56863640643974,105.56863640643974,105.56863640643974,0.02,0.0,0.0
23,1,23,352.23830037790395,157.39527100632634,59.05199567197427,155.71871285819668,147.69757079676177,186.2266226399241,170.19600536670686,41.03785313694766,129.21609475397062,71.92325578093735,105.82899714331224,105.82899714331224,105.82899714331224,105.82899714331224,105.82899714331224,0.02,0.0,0.0
24,1,24,353.67336281498535,158.03651882336695,59.29258081201335,156.35313016981135,148.2993089827319,186.9853329523699,170.88940496005327,41.20504643044276,129.7425371188379,72.21628002791188,106.08999999999999,106.08999999999999,106.08999999999999,106.08999999999999,106.08999999999999,0.02,0.0,0.0
25,1,25,355.1142718740728,158.68037916339023,59.53414612569347,156.99013217608405,148.9034987245571,187.74713434454455,171.58562954917454,41.37292089011137,130.27112427506466,72.5104980919402,106.35164656014369,106.35164656014369,106.35164656014369,106.35164656014369,106.35164656014369,0.02,0.0,0.0
26,1,26,356.56105137502794,159.32686267013813,59.776695606363354,157.62972940738072,149.51015001017925,188.51203940988947,172.2846906434531,41.54147929110877,130.8018649607963,72.80591483678077,106.6139384112897,106.6139384112897,106.6139384112897,106.6139384112897,106.6139384112897,0.02,0.0,0.0
27,1,27,358.0137252347576,159.9759800307166,60.020233263641146,158.2719324369694,150.11927286823254,189.28006079315335,172.9865997991621,41.71072441989661,131.33476794977864,73.10253514600757,106.87687714489968,106.87687714489968,106.87687714489968,106.87687714489968,106.87687714489968,0.02,0.0,0.0
28,1,28,359.47231746760906,160.6277419757722,60.26476312348066,158.9167518811948,150.730877368209,190.05121119060115,173.6913686196563,41.88065907428891,131.86984205150276,73.40036392309091,107.14046435636035,107.14046435636035,107.14046435636035,107.14046435636035,107.14046435636035,0.02,0.0,0.0
29,1,29,360.93685218576695,161.2821592796694,60.51028922823796,159.56419839965412,151.34497362062498,190.82550335022393,174.39900875556407,42.05128606349833,132.40709611135074,73.69940609147841,107.40470164499303,107.40470164499303,107.40470164499303,107.40470164499303,107.40470164499303,0.02,0.0,0.0
30,1,30,362.4073535996522,161.9392427606689,60.75681563673817,160.21428269537296,151.96157177718842,191.60295007194975,175.1095319049798,42.222608208182635,132.9465390107418,73.99966659467646,107.66959061406337,107.66959061406337,107.66959061406337,107.66959061406337,107.66959061406337,0.02,0.0,0.0
31,1,31,363.8838460183216,162.59900328110612,61.00434642434254,160.8670155149823,152.58068203096644,192.38356420785507,175.8229498136574,42.39462834049126,133.48817966727918,74.30115039633188,107.93513287079112,107.93513287079112,107.93513287079112,107.93513287079112,107.93513287079112,0.02,0.0,0.0
32,1,32,365.36635384987017,163.26145174757116,61.25288568301587,161.5224076488964,153.20231461655405,193.1673586623773,176.5392742752044,42.56734930411218,134.03202703489757,74.60386248031399,108.20133002635993,108.20133002635993,108.20133002635993,108.20133002635993,108.20133002635993,0.02,0.0,0.0
33,1,33,366.85490160183485,163.9265991110889,61.502437521394135,162.18046993149093,153.82647981024334,193.9543463925282,177.25851713127705,42.740773954318925,134.57809010401104,74.90780785079707,108.468183695927,108.468183695927,108.468183695927,108.468183695927,108.468183695927,0.02,0.0,0.0
34,1,34,368.34951388159885,164.59445636729998,61.75300606485239,162.84121324128208,154.45318793019317,194.74454040810798,177.9806902717758,42.91490515801775,135.12637790166175,75.21299153234297,108.73569549863294,108.73569549863294,108.73569549863294,108.73569549863294,108.73569549863294,0.02,0.0,0.0
35,1,35,369.8502153967991,165.26503455664263,62.00459545557298,163.50464850110652,155.08244933659984,195.5379537719203,178.70580563504217,43.08974579379504,135.67689949166913,75.51941856998421,109.0038670576116,109.0038670576116,109.0038670576116,109.0038670576116,109.0038670576116,0.02,0.0,0.0
36,1,36,371.3570309557347,165.93834476453532,62.257209852614025,164.17078667830194,155.71427443186852,196.3345995999884,179.43387520805592,43.265298751964906,136.2296639747798,75.82709402930747,109.2727,109.2727,109.2727,109.2727,109.2727,0.02,0.0,0.0
37,1,37,372.8699854677764,166.61439812155973,62.510853431978134,164.83963878488825,156.34867366078493,197.13449106177177,180.16491102663326,43.44156693461693,136.78468048881788,76.1360229965372,109.542195956948,109.542195956948,109.542195956948,109.542195956948,109.542195956948,0.02,0.0,0.0
38,1,38,374.3891039437793,167.29320580364504,62.76553038668151,165.51121587774975,156.98565751068818,197.93764138038392,180.89892517562575,43.6185532556642,137.3419582088361,76.4462105786198,109.81235656362838,109.81235656362838,109.81235656362838,109.81235656362838,109.81235656362838,0.02,0.0,0.0
39,1,39,375.91441149649546,167.97477903225246,63.0212449268232,166.18552905881785,157.62523651164418,198.74406383281104,181.63592978912018,43.79626064089144,137.90150634726757,76.75766190330795,110.08318345924668,110.08318345924668,110.08318345924668,110.08318345924668,110.08318345924668,0.02,0.0,0.0
40,1,40,377.4459333409895,168.6591290745608,63.27800127965469,166.86258947525457,158.26742123661944,199.55377175013118,182.3759370506391,43.97469202800335,138.4633341540779,77.07038211924545,110.35467828705117,110.35467828705117,110.35467828705117,110.35467828705117,110.35467828705117,0.02,0.0,0.0
41,1,41,378.9836947950553,169.3462672436529,63.53580368964986,167.54240831963685,158.91222230165624,200.36677851773513,183.11895919334228,44.153850366673254,139.02745091691827,77.38437639605233,110.62684269434283,110.62684269434283,110.62684269434283,110.62684269434283,110.62684269434283,0.02,0.0,0.0
42,1,42,380.5277212796347,170.0362048987023,63.794656418575066,168.22499683014158,159.5596503660478,201.1830975755472,183.86500850022875,44.33373861859176,139.59386596127885,77.69964992441027,110.89967833248527,110.89967833248527,110.89967833248527,110.89967833248527,110.89967833248527,0.02,0.0,0.0
43,1,43,382.07803831923763,170.7289534451614,64.05456374555966,168.91036629073142,160.20971613251476,202.00274241824778,184.61409730434025,44.51435975751581,140.16258865064313,78.01620791614846,111.17318685691487,111.17318685691487,111.17318685691487,111.17318685691487,111.17318685691487,0.02,0.0,0.0
44,1,44,383.6346715423637,171.42452433494972,64.31552996716665,169.59852803134123,160.86243034738177,202.82572659549615,185.36623798896463,44.695716769317784,140.73362838664244,78.33405560432969,111.44736992715072,111.44736992715072,111.44736992715072,111.44736992715072,111.44736992715072,0.02,0.0,0.0
45,1,45,385.1976466819265,172.12292906664334,64.57755939746383,170.28949342806547,161.5178038007555,203.65206371215461,186.12144298784088,44.87781265203487,141.30699460921156,78.65319824333692,111.7222292068048,111.7222292068048,111.7222292068048,111.7222292068048,111.7222292068048,0.02,0.0,0.0
46,1,46,386.76698957567874,172.82417918566497,64.84065636809501,170.98327390334617,162.1758473267028,204.48176742851336,186.8797247853646,45.060650415918644,141.88269679674482,78.97364110896011,111.99776636359191,111.99776636359191,111.99776636359191,111.99776636359191,111.99776636359191,0.02,0.0,0.0
