Date;AAPL;AXP;BA;CAT;CSCO;CVX;DIS;HD;IBM;INTC;JNJ;JPM;KO;MCD;MMM;MRK;MSFT;NKE;PFE;PG;TRV;UNH;VZ;WBA;WMT;XOM;^GSPC
1996-01-12;0.25969281792640686;8.05792236328125;23.880098342895508;7.515189170837402;2.873730182647705;10.4987154006958;15.032936096191406;6.160898208618164;12.851099014282227;4.334344863891602;11.678590774536133;8.943984985351562;9.671162605285645;12.72502326965332;16.280797958374023;12.31862735748291;3.3896803855895996;3.293057918548584;4.436569690704346;11.208731651306152;14.235674858093262;5.896208763122559;10.168702125549316;5.141184329986572;7.321431636810303;9.170011520385742;601.8099975585938
1996-01-19;0.22902826964855194;8.85854721069336;24.07206153869629;7.628639221191406;3.0822672843933105;10.773031234741211;15.032936096191406;6.214008808135986;15.175826072692871;3.9324848651885986;11.763714790344238;9.567049026489258;9.754250526428223;13.868846893310547;15.685924530029297;12.987838745117188;3.6317999362945557;3.360139846801758;4.463622093200684;11.45730972290039;14.714452743530273;6.142966270446777;10.224172592163086;5.581853866577148;6.53993034362793;9.342753410339355;611.8300170898438
1996-01-26;0.23477837443351746;8.910207748413086;23.572956085205078;8.048858642578125;3.300975799560547;10.473772048950195;15.220849990844727;6.391045570373535;15.58497428894043;4.209958076477051;12.700047492980957;10.129816055297852;9.903799057006836;14.369261741638184;16.343416213989258;13.458778381347656;3.577446460723877;3.366236448287964;4.752177715301514;11.473786354064941;14.842113494873047;6.441671371459961;10.020798683166504;5.623825550079346;6.581063270568848;9.184404373168945;621.6199951171875
1996-02-02;0.2242371141910553;9.24594783782959;23.95688819885254;8.194315910339355;3.4383034706115723;10.523651123046875;15.534035682678223;6.444155216217041;16.310287475585938;4.347105503082275;13.0575532913208;10.491596221923828;9.986888885498047;14.297778129577637;16.437349319458008;13.756211280822754;3.676269769668579;3.3113515377044678;4.896456241607666;10.995718002319336;14.491022109985352;6.5975189208984375;10.1871976852417;5.812684535980225;7.074641704559326;9.299567222595215;635.8400268554688
1996-02-09;0.21273770928382874;9.788308143615723;25.456830978393555;8.355941772460938;3.712960958480835;10.922656059265137;15.721945762634277;6.656601428985596;16.923688888549805;4.44285774230957;13.50018310546875;10.752883911132812;10.585104942321777;15.084150314331055;17.126155853271484;13.880138397216797;3.957919120788574;3.317450761795044;4.990697383880615;11.572701454162598;14.810210227966309;6.701416969299316;10.704879760742188;5.980560302734375;7.3625640869140625;9.603882789611816;656.3699951171875
1996-02-16;0.2108212113380432;9.555871963500977;25.148733139038086;8.663023948669434;3.621410846710205;11.222123146057129;16.066452026367188;6.709712982177734;17.594682693481445;4.409345626831055;12.862695693969727;10.893575668334961;10.701422691345215;14.369261741638184;16.65651512145996;13.632284164428711;3.8689775466918945;3.280860185623169;4.927293300628662;11.358394622802734;15.32090950012207;6.753364086151123;10.113236427307129;5.833670139312744;6.992376804351807;9.473114967346191;647.97998046875
1996-02-23;0.22902826964855194;9.685003280639648;25.764925003051758;9.050919532775879;4.038481712341309;11.524067878723145;16.28568458557129;6.621193885803223;18.731624603271484;4.658298015594482;12.777280807495117;11.657331466674805;11.05038070678711;14.8696928024292;16.58588218688965;13.334847450256348;4.091332912445068;3.1710917949676514;4.927293300628662;10.995718002319336;14.810210227966309;6.766353130340576;10.057777404785156;5.894297122955322;7.321431636810303;9.56029224395752;659.0800170898438
1996-03-01;0.2060292512178421;9.607521057128906;24.80211067199707;8.727676391601562;3.7027883529663086;11.322772026062012;16.536237716674805;6.267120361328125;17.61332130432129;4.294444561004639;13.11892032623291;11.69752311706543;10.917449951171875;14.424336433410645;16.396684646606445;13.359637260437012;3.775094509124756;3.280860185623169;4.818602561950684;11.160576820373535;14.810210227966309;6.948174953460693;9.78044319152832;5.578530311584473;7.115771293640137;9.269709587097168;644.3699951171875
1996-03-08;0.19932180643081665;9.220124244689941;24.22443389892578;8.695353507995605;3.5807197093963623;10.7943754196167;16.442277908325195;6.610288143157959;17.0355224609375;4.098154067993164;12.982266426086426;10.672483444213867;10.668185234069824;14.5675048828125;15.892173767089844;12.155555725097656;3.760270595550537;3.5084147453308105;4.764258861541748;11.242997169494629;13.820727348327637;6.493621349334717;9.410676002502441;5.5574798583984375;7.4036946296691895;9.211592674255371;633.5
1996-03-15;0.19836360216140747;9.99492073059082;24.91765785217285;9.30951976776123;3.865549087524414;11.04599380493164;17.350515365600586;7.017890453338623;17.87425422668457;4.509885311126709;12.845606803894043;10.91366958618164;10.784459114074707;14.67488956451416;16.018308639526367;12.379737854003906;4.046860218048096;3.886713981628418;4.555933475494385;10.962738990783691;13.788819313049316;6.428686618804932;9.096369743347168;5.45222282409668;7.832247257232666;9.182531356811523;641.4299926757812
1996-03-22;0.1945306956768036;10.072402000427246;27.382478713989258;8.953944206237793;3.6417534351348877;11.12148380279541;16.254365921020508;6.982448101043701;17.0355224609375;4.29923152923584;12.913939476013184;11.436240196228027;11.184501647949219;14.531718254089355;16.270557403564453;12.65373706817627;3.997450828552246;4.033151149749756;4.909178256988525;11.589187622070312;14.299510955810547;6.4027099609375;9.521605491638184;5.683787822723389;7.832247257232666;9.458587646484375;650.6199951171875
